time,close,high,low,open,volumefrom,volumeto,vwap,base,quote,exchange
1497398400,341.52,393.0,310.0,389.19,174703.56,62527519.96,357.9063870249696,eth,usd,gemini
1497484800,341.82,346.96,250.0,341.52,254739.05,77957832.61,306.03016149271184,eth,usd,gemini
1497571200,348.0,357.01,314.28,341.82,89412.59,30703438.05,343.39054544779435,eth,usd,gemini
1497657600,368.61,368.61,335.32,348.0,58920.52,20946363.37,355.50201135359976,eth,usd,gemini
1497744000,351.01,378.85,337.29,368.61,70306.99,25302913.8,359.8918656594458,eth,usd,gemini
1497830400,358.76,361.53,347.16,351.01,53267.9,18928676.45,355.34865181469513,eth,usd,gemini
1497916800,350.0,365.0,321.0,358.76,106539.35,37789346.4,354.6984883988873,eth,usd,gemini
1498003200,324.29,352.0,280.0,350.0,176262.61,55589221.4,315.3772737167571,eth,usd,gemini
1498089600,319.68,333.64,307.52,324.29,100754.93,32292488.51,320.5052944803793,eth,usd,gemini
1498176000,326.75,330.53,319.39,319.68,62030.87,20181582.02,325.3473959014278,eth,usd,gemini
1498262400,304.8,330.86,300.01,326.75,63424.4,20088764.28,316.73558252029187,eth,usd,gemini
1498348800,278.73,310.0,251.49,304.8,118213.95,33404287.14,282.57483266568795,eth,usd,gemini
1498435200,253.0,299.9,210.0,278.73,249076.24,60950252.99,244.70520748988343,eth,usd,gemini
1498521600,286.21,288.17,210.02,253.0,173179.4,42085473.6,243.0166266888556,eth,usd,gemini
1498608000,317.59,324.95,260.49,286.21,184030.56,54573461.77,296.545648559674,eth,usd,gemini
1498694400,293.8,322.84,285.23,317.59,152271.32,46521350.06,305.51616719418996,eth,usd,gemini
1498780800,280.8,304.94,270.77,293.8,146545.22,42337469.59,288.9037908571839,eth,usd,gemini
1498867200,261.99,283.0,252.6,280.8,163332.57,44139914.38,270.24563673981254,eth,usd,gemini
1498953600,283.99,293.65,255.38,261.99,112725.96,30279694.18,268.61331835186854,eth,usd,gemini
1499040000,277.0,284.82,273.03,283.99,126650.75,35296212.2,278.68932635614084,eth,usd,gemini
1499126400,270.0,282.0,266.0,277.0,140335.27,38548958.17,274.691873040897,eth,usd,gemini
1499212800,266.76,273.89,253.27,270.0,161945.75,42713099.74,263.74943300457096,eth,usd,gemini
1499299200,266.17,274.0,260.18,266.76,143510.61,38209259.23,266.24692926885336,eth,usd,gemini
1499385600,240.4,266.56,235.02,266.17,184201.98,46026782.86,249.87127098199485,eth,usd,gemini
1499472000,245.44,248.0,230.4,240.4,164101.0,39376219.27,239.95112321070562,eth,usd,gemini
1499558400,237.72,253.31,237.02,245.44,101905.45,24961663.53,244.94924981931783,eth,usd,gemini
1499644800,203.35,240.33,188.14,237.72,226172.48,49074397.62,216.97775794827027,eth,usd,gemini
1499731200,190.11,215.96,175.5,203.35,290012.82,56414931.79,194.52564817651853,eth,usd,gemini
1499817600,224.5,225.72,182.01,190.11,248222.74,51298465.49,206.66303776197137,eth,usd,gemini
1499904000,205.85,226.65,192.25,224.5,192769.75,39998483.42,207.49356898579782,eth,usd,gemini
1499990400,197.03,207.5,181.2,205.85,182149.21,35377279.66,194.2214279161573,eth,usd,gemini
1500076800,168.82,198.52,168.0,197.03,198488.57,36155854.57,182.15585194653778,eth,usd,gemini
1500163200,155.38,171.86,132.0,168.82,360853.19,55178164.18,152.91028514948144,eth,usd,gemini
1500249600,191.51,191.52,153.0,155.38,243506.33,42028093.49,172.59548649104934,eth,usd,gemini
1500336000,226.19,262.99,178.0,191.51,401689.43,84777351.79,211.05198558498293,eth,usd,gemini
1500422400,194.99,246.8,190.0,226.19,339447.25,73273756.36,215.86198256135526,eth,usd,gemini
1500508800,228.88,236.09,194.98,194.99,292474.73,64595504.83,220.8584134089123,eth,usd,gemini
1500595200,216.81,237.97,208.69,228.88,162360.33,36304545.81,223.60477962812718,eth,usd,gemini
1500681600,232.0,237.43,215.99,216.81,142040.47,32056215.26,225.6836749413741,eth,usd,gemini
1500768000,229.08,235.93,220.12,232.0,153142.83,34998413.81,228.53445904062244,eth,usd,gemini
1500854400,225.91,230.61,223.32,229.08,115416.19,26186250.92,226.8854215340153,eth,usd,gemini
1500940800,202.71,226.56,191.0,225.91,264069.32,54616890.57,206.82785326973993,eth,usd,gemini
1501027200,202.78,209.0,191.0,202.71,154896.38,30930681.94,199.68628020874343,eth,usd,gemini
1501113600,202.7,206.88,198.56,202.78,118820.56,24024613.74,202.19239616443483,eth,usd,gemini
1501200000,191.24,203.98,190.0,202.7,125224.7,24513007.16,195.7521731735033,eth,usd,gemini
1501286400,205.17,209.81,176.0,191.24,193653.07,36523030.88,188.60031953017838,eth,usd,gemini
1501372800,195.64,210.0,193.0,205.17,132745.47,26438435.05,199.16638247617792,eth,usd,gemini
1501459200,201.79,202.98,190.07,195.64,144605.78,28327058.58,195.89160668404816,eth,usd,gemini
1501545600,225.72,232.0,201.53,201.79,204704.62,44395657.24,216.87667449811343,eth,usd,gemini
1501632000,217.98,228.91,215.31,225.72,83277.01,18353932.33,220.3961493093952,eth,usd,gemini
1501718400,224.02,228.72,217.98,217.98,83325.94,18588806.48,223.08546990288977,eth,usd,gemini
1501804800,219.11,227.65,218.0,224.02,102629.34,22817370.64,222.32794871330168,eth,usd,gemini
1501891200,253.7,260.03,217.97,219.11,223906.21,53543456.27,239.13341336088894,eth,usd,gemini
1501977600,264.17,271.87,247.83,253.7,171646.45,44607870.93,259.88228087443696,eth,usd,gemini
1502064000,269.58,274.88,255.13,264.17,104572.8,27810016.48,265.9392928180177,eth,usd,gemini
1502150400,296.53,299.99,266.5,269.58,134176.17,38185216.2,284.59014890647126,eth,usd,gemini
1502236800,295.72,315.49,277.81,296.53,255087.64,75840226.25,297.3104704328285,eth,usd,gemini
1502323200,298.05,310.0,289.0,295.72,112670.04,34007757.38,301.83496322536143,eth,usd,gemini
1502409600,308.77,309.99,295.3,298.05,88835.52,26791099.1,301.5809340678143,eth,usd,gemini
1502496000,307.22,320.0,304.0,308.77,132468.05,41373226.63,312.32607885448607,eth,usd,gemini
1502582400,295.45,308.3,287.03,307.22,149358.68,44066931.43,295.0409807451432,eth,usd,gemini
1502668800,298.39,305.0,289.02,295.45,129935.54,38779161.34,298.44922597774257,eth,usd,gemini
1502755200,286.46,299.02,271.0,298.39,180656.32,51431090.82,284.69023845941285,eth,usd,gemini
1502841600,301.0,302.07,280.25,286.46,94204.1,27444452.27,291.3297008304309,eth,usd,gemini
1502928000,300.95,310.0,298.0,301.0,92386.87,28075399.02,303.8894923055625,eth,usd,gemini
1503014400,292.33,306.02,285.0,300.95,88828.3,26358664.8,296.7372425229347,eth,usd,gemini
